Ref,Val,Package,PosX,PosY,Rot,Side
"D2","BAT54S","SOT-23",-207.018334,-91.800000,0.000000,top
"D3","BAT54S","SOT-23",-207.278334,-115.800000,0.000000,top
"D4","BAT54S","SOT-23",-207.148334,-67.300000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-174.500000,-27.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-314.500000,-141.500000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-237.000000,-34.000000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",-261.000000,-97.500000,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",-208.500000,-48.530000,0.000000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",-208.500000,-121.635000,0.000000,top
"J1","A2_0_MS1","PinHeader_1x03_P2.54mm_Vertical",-286.130000,-75.890000,180.000000,top
"J2","A0_0_MS1","PinHeader_1x03_P2.54mm_Vertical",-286.130000,-144.280000,180.000000,top
"J3","A2_0_MS2","PinHeader_1x03_P2.54mm_Vertical",-281.565000,-75.890000,180.000000,top
"J4","A0_0_MS2","PinHeader_1x03_P2.54mm_Vertical",-281.565000,-144.280000,180.000000,top
"J5","A2_0_MS3","PinHeader_1x03_P2.54mm_Vertical",-277.065000,-75.890000,180.000000,top
"J6","A0_0_MS3","PinHeader_1x03_P2.54mm_Vertical",-277.065000,-144.280000,180.000000,top
"J7","A0_1_MS1","PinHeader_1x03_P2.54mm_Vertical",-286.130000,-110.280000,180.000000,top
"J8","A0_1_MS2","PinHeader_1x03_P2.54mm_Vertical",-281.565000,-110.280000,180.000000,top
"J9","A0_1_MS3","PinHeader_1x03_P2.54mm_Vertical",-277.065000,-110.280000,180.000000,top
"J10","A3_0_MS1","PinHeader_1x03_P2.54mm_Vertical",-286.065000,-42.050000,180.000000,top
"J11","A3_0_MS2","PinHeader_1x03_P2.54mm_Vertical",-281.500000,-42.050000,180.000000,top
"J12","A3_0_MS3","PinHeader_1x03_P2.54mm_Vertical",-277.000000,-42.050000,180.000000,top
"J13","BBB_GPIO_DIO","PinHeader_1x08_P2.54mm_Vertical",-246.210000,-103.000000,0.000000,top
"J14","BBB_AI","PinHeader_1x04_P2.54mm_Vertical",-230.445000,-103.000000,0.000000,top
"J15","BBB_MOTOR","PinHeader_1x12_P2.54mm_Vertical",-261.000000,-130.475000,180.000000,top
"J16","POWER_5V_3V3_IN","TerminalBlock_bornier-4_P5.08mm",-234.335000,-150.500000,0.000000,top
"J17","DO","TerminalBlock_bornier-5_P5.08mm",-244.871666,-26.500000,180.000000,top
"J18","AI","TerminalBlock_bornier-5_P5.08mm",-183.340000,-26.500000,180.000000,top
"J19","DI","TerminalBlock_bornier-5_P5.08mm",-214.015000,-26.500000,180.000000,top
"J20","MOTOR_A3","TerminalBlock_bornier-4_P5.08mm",-315.065000,-34.430000,-90.000000,top
"J21","POWER_12V_IN","TerminalBlock_bornier-2_P5.08mm",-249.951666,-150.500000,0.000000,top
"J22","MOTOR_AO","TerminalBlock_bornier-4_P5.08mm",-315.000000,-118.880000,-90.000000,top
"J23","MOTOR_A2","TerminalBlock_bornier-4_P5.08mm",-315.065000,-59.440000,-90.000000,top
